   Alp Ant, ,10.4525433,-31.06780228,112.3595506,K4III       ,1.429
   Alp Aps, ,14.79770171,-79.04471242,126.1034048,K5III       ,1.433
   Alp Ara, ,17.53070044,-49.87598159,74.29420505,B2Vne       ,-0.136
   Alp Cae, ,4.67606197,-41.86357034,20.13287699,F2V         ,0.342
   Alp Car,Canopus,6.39919184,-52.69571799,95.87727709,F0Ib        ,0.164
   Alp Cha, ,8.30868523,-76.91998251,19.45525292,F5III       ,0.413
   Alp Cir, ,14.70852362,-64.97456957,16.40150894,F1Vp        ,0.256
   Alp Col,Phakt,5.66081665,-34.07404941,82.23684211,B7IV        ,-0.12
   Alp CrA, ,19.15785508,-37.90423953,39.76143141,A0/A1V      ,0.042
   Alp Dor, ,4.56658845,-55.04500559,53.87931034,A0V:        ,-0.079
   Alp Eri,Achernar,1.62854213,-57.23666007,44.09171076,B3Vp        ,-0.158
   Alp For, ,3.20118888,-28.98910623,14.11233418,F8V         ,0.543
   Alp Gru,Alnair,22.13718789,-46.96061593,31.09452736,B7IV        ,-0.07
   Alp Hor, ,4.23335592,-42.29387294,35.90664273,K1III       ,1.085
   Alp Hyi, ,1.97940884,-61.56992444,21.86270223,F0V         ,0.29
   Alp Ind, ,20.62610824,-47.29166239,31.04625893,K0III       ,0.998
   Alp Lup, ,14.69882606,-47.38814127,168.0672269,B1.5III     ,-0.154
   Alp Men, ,6.17061203,-74.7525279,10.14816318,G5V         ,0.714
   Alp Mic, ,20.83279986,-33.7796732,116.6861144,G8III       ,1.004
   Alp Mus, ,12.61974547,-69.13553358,93.72071228,B2IV-V      ,-0.176
   Alp Oct, ,21.07861906,-77.02286938,45.31037608,F4III       ,0.49
   Alp Pav, ,20.42745823,-56.73488071,56.17977528,B2IV        ,-0.118
   Alp Phe,Ankaa,0.43801871,-42.30512197,23.7304224,K0III...    ,1.083
   Alp Pic, ,6.80320475,-61.94197988,30.33980583,A7IV        ,0.225
   Alp Pyx, ,8.72654096,-33.18641133,259.0673575,B1.5III     ,-0.18
   Alp Ret, ,4.24039753,-62.47397888,50.05005005,G7III       ,0.915
   Alp Scl, ,0.97676274,-29.35746436,206.185567,B7IIIp      ,-0.154
   Alp Sct, ,18.58678829,-8.24330819,53.41880342,K2III       ,1.317
   Alp Sgr, ,19.3980976,-40.61564629,52.08333333,B8V         ,-0.105
   Alp Tel, ,18.44956396,-45.96832919,76.45259939,B3IV        ,-0.179
   Alp TrA, ,16.81107382,-69.02763503,127.388535,K2IIb-IIIa  ,1.447
   Alp Tuc, ,22.30838283,-60.25949486,60.90133983,K3III       ,1.39
   Alp Vol, ,9.04077745,-66.39584369,38.1097561,Am          ,0.145
   Alp1Cen,Rigel Kentaurus,14.66136068,-60.83514707,1.347490972,G2V         ,0.71
   Alp1Cru,Acrux,12.44331705,-63.09905586,98.32841691,B0.5IV      ,-0.243
   Bet Aps, ,16.71817212,-77.51657182,48.33252779,K0III       ,1.06
   Bet Ara, ,17.42166588,-55.52982397,184.8428835,K3Ib-II     ,1.479
   Bet Cae, ,4.7009573,-37.14476616,27.65486726,F3V         ,0.391
   Bet Car, ,9.22006688,-69.71747245,34.08316292,A2IV        ,0.07
   Bet Cen,Agena,14.06373459,-60.3729784,161.0305958,B1III       ,-0.231
   Bet Cha, ,12.30581775,-79.31226899,82.98755187,B5Vn        ,-0.123
   Bet Cir, ,15.29193339,-58.80087882,29.62962963,A3V         ,0.088
   Bet Col, ,5.84932022,-35.76929225,26.35740643,K1.5III     ,1.146
   Bet CrA, ,19.16715345,-39.34070677,155.7632399,K0II/IIICN. ,1.163
   Bet Cru, ,12.79536635,-59.68873246,108.1081081,B0.5III     ,-0.238
   Bet Dor, ,5.5604212,-62.48985585,318.4713376,F6Ia        ,0.64
   Bet For, ,2.8181554,-32.40628403,51.78663905,G8III       ,0.981
   Bet Gru, ,22.71109302,-46.88456594,52.1648409,M5III       ,1.61
   Bet Hor, ,2.979935,-64.07129717,96.15384615,A5III       ,0.126
   Bet Hya, ,11.88182257,-33.90813014,111.9820829,Ap Si       ,-0.1
   Bet Hyi, ,0.42755612,-77.25503511,7.474958888,G2IV        ,0.618
   Bet Ind, ,20.91349433,-58.4540947,184.8428835,K0III       ,1.25
   Bet Lup, ,14.97554279,-43.13386699,160.5136437,B2III       ,-0.184
   Bet Men, ,5.04527913,-71.31432608,196.8503937,G8III       ,0.996
   Bet Mic, ,20.86632121,-33.17796029,202.8397566,A1IV        ,0.029
   Bet Mus, ,12.77135267,-68.10809405,95.41984733,B2V         ,-0.178
   Bet Oct, ,22.76770092,-81.38161731,43.04778304,A9IV/V      ,0.208
   Bet Pav, ,20.74932102,-66.20323826,42.17629692,A5IV        ,0.163
   Bet Phe, ,1.10141847,-46.71849042,60.75334143,G8IIIvar    ,0.885
   Bet Pic, ,5.7880787,-51.06671329,19.27896665,A3V         ,0.171
   Bet Pyx, ,8.66837126,-35.30830091,119.047619,G5II/III    ,0.936
   Bet Ret, ,3.73654302,-64.80709398,30.57169061,K0IV SB     ,1.133
   Bet Scl, ,23.5494967,-37.81835895,54.70459519,B9.5IVMNpe. ,-0.095
   Bet Sct, ,18.7862437,-4.74782871,211.4164905,G5II...     ,1.087
   Bet TrA, ,15.91911334,-63.42974973,12.30920729,F2III       ,0.315
   Bet Vol, ,8.42895729,-66.13652042,33.10162198,K2IIIvar    ,1.132
   Bet1Sgr, ,19.37730181,-44.45891013,116.0092807,B9V         ,-0.085
   Bet1Tuc, ,0.52571132,-62.95808549,42.82655246,B9V         ,-0.064
   Bet2Sgr, ,19.38696127,-44.79964788,42.5170068,F2III       ,0.35
   Bet2Tuc, ,0.525932,-62.96544985,52.77044855,A2V         ,0.147
   Bet3Tuc, ,0.5454984,-63.03137868,46.46840149,A0V         ,0.038
   Chi Car, ,7.94631715,-52.98240062,118.623962,B3IVp       ,-0.177
   Chi Cen, ,14.10077389,-41.17958035,136.7989056,B2V         ,-0.198
   Chi Eri, ,1.93245347,-51.60958673,17.4855744,G5IV        ,0.844
   Chi Gem, ,8.05863865,27.79441794,78.98894155,K2III       ,1.13
   Chi Oct, ,18.91323566,-87.60551487,76.56967841,K3III       ,1.304
   Chi Phe, ,2.0284451,-44.71339037,114.1552511,K5III       ,1.471
   Chi1For, ,3.43217096,-35.92087386,99.9000999,A1IV        ,0.082
   Chi1Hya, ,11.08889795,-27.29359566,43.51610096,F3IV/V      ,0.369
   Chi2For, ,3.45926826,-35.68133899,142.4501425,K2III       ,1.284
   Chi2Hya, ,11.09931871,-27.28781183,245.0980392,B8V         ,-0.067
   Chi3For, ,3.46986078,-35.85341812,110.9877913,A1V         ,0.126
